Dataset,Method,Acc ,Sn ,Sp ,MCC ,ROC
Dataset-S51,GBDT,0.7234 ,0.7200 ,0.7269 ,0.4468 ,0.7234 
Dataset-S51,KNN,0.6167 ,0.7337 ,0.4996 ,0.2400 ,0.6167 
Dataset-S51,LR,0.7192 ,0.6924 ,0.7460 ,0.4390 ,0.7192 
Dataset-S51,NB,0.7050 ,0.7100 ,0.7001 ,0.4101 ,0.7050 
Dataset-S51,RF,0.7165 ,0.7192 ,0.7138 ,0.4331 ,0.7165 
Dataset-S51,SVM,0.7257 ,0.7169 ,0.7345 ,0.4515 ,0.7257 
Dataset-S51,XGBoost,0.7314 ,0.7345 ,0.7284 ,0.4629 ,0.7314 
Dataset-S21,GBDT,0.7752,0.7861,0.7644,0.5506,0.7752
Dataset-S21,KNN,0.7224,0.7704,0.6743,0.4468,0.7224
Dataset-S21,LR,0.7554,0.7656,0.7452,0.5109,0.7554
Dataset-S21,NB,0.7392,0.7644,0.7139,0.5172,0.7392
Dataset-S21,RF,0.7584,0.7776,0.7392,0.5172,0.7584
Dataset-S21,SVM,0.7704,0.7248,0.8161,0.5431,0.7704
Dataset-S21,XGBoost,0.7837,0.8425,0.7248,0.5713,0.7837
Dataset-M41,GBDT,0.8890,0.7779,1.0000,0.7979,0.8890
Dataset-M41,KNN,0.6448,0.4303,0.8593,0.3207,0.6448
Dataset-M41,LR,0.8807,0.7793,0.9821,0.7775,0.8807
Dataset-M41,NB,0.7862,0.5793,0.9931,0.6288,0.7862
Dataset-M41,RF,0.8890,0.7779,1.0000,0.7979,0.8890
Dataset-M41,SVM,0.8848,0.7766,0.9931,0.7884,0.8848
Dataset-M41,XGBoost,0.8890,0.7779,1.0000,0.7979,0.8890
Dataset-A25,GBDT,0.8401 ,0.6980 ,0.9822 ,0.7095 ,0.8401 
Dataset-A25,KNN,0.6129 ,0.5000 ,0.7259 ,0.2319 ,0.6129 
Dataset-A25,LR,0.8363 ,0.6904 ,0.9822 ,0.7032 ,0.8363 
Dataset-A25,NB,0.7500 ,0.5558 ,0.9442 ,0.5426 ,0.7500 
Dataset-A25,RF,0.8338 ,0.6777 ,0.9898 ,0.7026 ,0.8338 
Dataset-A25,SVM,0.8426 ,0.6853 ,1.0000 ,0.7220 ,0.8426 
Dataset-A25,XGBoost,0.8490 ,0.7081 ,0.9898 ,0.7274 ,0.8490 
Dataset-H41,GBDT,0.9089,0.8204,0.9973,0.8308,0.9088
Dataset-H41,KNN,0.6566,0.4062,0.9071,0.3620,0.6566
Dataset-H41,LR,0.9066,0.8204,0.9929,0.8257,0.9066
Dataset-H41,NB,0.8155,0.6327,0.9982,0.6779,0.8155
Dataset-H41,RF,0.8982,0.7965,1.0000,0.8135,0.8982
Dataset-H41,SVM,0.9018,0.8035,1.0000,0.8195,0.9018
Dataset-H41,XGBoost,0.9089,0.8195,0.9982,0.8311,0.9088
Dataset-A101,GBDT,0.7795,0.7624,0.7967,0.5594,0.7795
Dataset-A101,KNN,0.6638,0.7524,0.5752,0.3329,0.6638
Dataset-A101,LR,0.7914,0.7910,0.7919,0.5829,0.7914
Dataset-A101,NB,0.7517,0.8005,0.7029,0.5057,0.7517
Dataset-A101,RF,0.7260,0.7152,0.7367,0.4520,0.7260
Dataset-A101,SVM,0.7971,0.7957,0.7986,0.5943,0.7971
Dataset-A101,XGBoost,0.7890,0.7824,0.7957,0.5781,0.7233
